,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R2,Test R2
Linear Regression,6.560556030341839e-10,2.4593250748901795e-09,4.842222692176329e-10,2.4506504206406417e-09,1.0,0.0
Ridge Regression,0.488303927456205,0.06573872156884568,0.3451993733312658,0.05373688062944785,0.9999999995377344,0.0
Lasso Regression,7.745211502646794,3.3354394456159557,5.525618890722972,2.7739851446705357,0.9999998837005443,0.0
Random Forest,1116.313987796614,166.91441916658584,453.07740114670685,164.603379082076,0.9975840727523819,0.0
Gradient Boosting,8090.155799978756,5142.863580541532,5358.635834435844,4799.282677370256,0.8731107327873409,0.0
XGBoost,2638.0885832575905,1465.5608682667048,1648.742985514786,1368.2779615544928,0.9865075795067773,0.0
